date_only,count
2015-05-22,1
2015-05-23,6
2015-05-25,2
2015-05-28,1
2015-05-30,5
2015-05-31,8
2015-06-02,1
2015-06-03,6
2015-06-05,4
2015-06-06,7
2015-06-07,12
2015-06-08,1
2015-06-13,4
2015-06-14,8
2015-06-17,1
2015-06-20,1
2015-06-21,1
2015-06-22,9
2015-06-23,1
2015-06-25,4
2015-06-26,6
2015-06-27,17
2015-06-28,3
2015-06-29,9
2015-07-02,1
2015-07-05,2
2015-07-06,2
2015-07-07,2
2015-07-08,2
2015-07-10,10
2015-07-11,14
2015-07-12,7
2015-07-13,1
2015-07-14,7
2015-07-15,5
2015-07-17,4
2015-07-18,5
2015-07-23,1
2015-07-24,1
2015-07-25,32
2015-07-26,29
2015-07-30,1
2015-07-31,1
2015-08-01,3
2015-08-07,3
2015-08-08,4
2015-08-12,1
2015-08-13,3
2015-08-15,8
2015-08-16,4
2015-08-17,1
2015-08-19,4
2015-08-20,2
2015-08-21,6
2015-08-23,3
2015-08-27,4
2015-08-28,2
2015-08-29,19
2015-08-30,5
2015-09-01,1
2015-09-04,6
2015-09-05,8
2015-09-06,18
2015-09-07,2
2015-09-08,4
2015-09-09,3
2015-09-11,1
2015-09-12,2
2015-09-14,1
2015-09-15,6
2015-09-17,8
2015-09-19,6
2015-09-20,11
2015-09-21,1
2015-09-23,1
2015-09-24,4
2015-09-25,10
2015-09-26,17
2015-09-27,2
2015-09-28,1
2015-09-29,4
2015-09-30,1
2015-10-05,5
2015-10-09,2
2015-10-11,6
2015-10-12,1
2015-10-13,13
2015-10-14,16
2015-10-15,4
2015-10-16,4
2015-10-17,1
2015-10-19,2
2015-10-21,7
2015-10-22,4
2015-10-27,1
2015-10-29,5
2015-10-31,1
2015-11-01,3
2015-11-02,5
2015-11-05,2
2015-11-07,2
2015-11-08,2
2015-11-15,3
2015-11-16,2
2015-11-17,1
2015-11-19,1
2015-11-20,6
2015-11-24,1
2015-11-25,2
2015-11-27,6
2015-11-29,2
2015-12-02,1
2015-12-03,1
2015-12-04,3
2015-12-06,1
2015-12-08,4
2015-12-14,3
2015-12-15,3
2015-12-16,3
2015-12-17,5
2015-12-18,1
2015-12-19,2
2015-12-20,9
2015-12-21,4
2015-12-22,1
2015-12-24,2
2015-12-25,3
2015-12-26,5
2015-12-27,1
2015-12-28,1
2015-12-29,4
2016-01-03,7
2016-01-04,4
2016-01-06,1
2016-01-07,3
2016-01-08,4
2016-01-09,1
2016-01-10,1
2016-01-12,1
2016-01-14,10
2016-01-15,2
2016-01-16,1
2016-01-17,9
2016-01-22,1
2016-01-25,1
2016-02-02,2
2016-02-03,1
2016-02-08,1
2016-02-10,1
2016-02-13,12
2016-02-16,1
2016-02-19,1
2016-02-21,5
2016-02-24,3
2016-02-25,2
2016-02-28,1
2016-03-01,2
2016-03-03,3
2016-03-04,2
2016-03-05,1
2016-03-08,1
2016-03-09,2
2016-03-11,2
2016-03-12,3
2016-03-15,1
2016-03-16,1
2016-03-17,1
2016-03-18,1
2016-03-19,2
2016-03-20,5
2016-03-22,2
2016-03-23,1
2016-03-25,1
2016-03-26,1
2016-03-28,3
2016-04-01,20
2016-04-02,10
2016-04-03,1
2016-04-05,1
2016-04-07,4
2016-04-08,2
2016-04-09,2
2016-04-11,1
2016-04-15,1
2016-04-16,1
2016-04-17,5
2016-04-18,2
2016-04-19,11
2016-04-20,3
2016-04-21,3
2016-04-22,10
2016-04-23,7
2016-04-24,1
2016-04-25,11
2016-04-26,3
2016-04-28,3
2016-04-29,1
2016-04-30,2
2016-05-02,3
2016-05-03,6
2016-05-04,21
2016-05-05,3
2016-05-06,3
2016-05-07,1
2016-05-08,2
2016-05-09,10
2016-05-12,7
2016-05-17,1
2016-05-18,1
2016-05-19,12
2016-05-20,6
2016-05-21,27
2016-05-22,5
2016-05-23,3
2016-05-24,1
2016-05-26,20
2016-05-27,10
2016-05-28,3
2016-05-29,4
2016-05-30,8
2016-05-31,1
2016-06-01,4
2016-06-02,6
2016-06-03,4
2016-06-04,12
2016-06-05,2
2016-06-06,10
2016-06-07,2
2016-06-08,11
2016-06-09,2
2016-06-11,3
2016-06-12,5
2016-06-15,2
2016-06-16,1
2016-06-17,6
2016-06-18,4
2016-06-19,2
2016-06-22,3
2016-06-23,2
2016-06-24,6
2016-06-25,12
2016-06-26,31
2016-06-27,1
2016-07-03,7
2016-07-05,22
2016-07-06,1
2016-07-07,4
2016-07-09,2
2016-07-11,3
2016-07-12,3
2016-07-14,7
2016-07-15,3
2016-07-19,4
2016-07-20,5
2016-07-21,16
2016-07-22,7
2016-07-23,1
2016-07-24,6
2016-07-26,4
2016-07-27,5
2016-07-28,9
2016-07-29,6
2016-07-30,5
2016-08-02,1
2016-08-03,49
2016-08-04,1
2016-08-05,8
2016-08-06,1
2016-08-07,2
2016-08-08,1
2016-08-10,1
2016-08-11,3
2016-08-12,6
2016-08-13,55
2016-08-14,3
2016-08-15,3
2016-08-18,5
2016-08-19,10
2016-08-20,3
2016-08-22,3
2016-08-23,3
2016-08-24,3
2016-08-27,1
2016-08-30,9
2016-08-31,8
2016-09-01,1
2016-09-03,10
2016-09-04,2
2016-09-05,1
2016-09-07,5
2016-09-08,1
2016-09-10,1
2016-09-11,2
2016-09-13,1
2016-09-15,2
2016-09-16,1
2016-09-18,1
2016-09-21,1
2016-09-22,3
2016-09-23,1
2016-09-24,7
2016-09-25,1
2016-09-28,2
2016-10-01,9
2016-10-02,3
2016-10-04,6
2016-10-05,1
2016-10-06,3
2016-10-07,5
2016-10-10,9
2016-10-11,5
2016-10-12,3
2016-10-13,5
2016-10-14,2
2016-10-17,3
2016-10-18,2
2016-10-19,9
2016-10-20,5
2016-10-21,8
2016-10-23,1
2016-10-24,2
2016-10-29,2
2016-10-30,5
2016-11-03,5
2016-11-05,3
2016-11-06,2
2016-11-07,10
2016-11-08,2
2016-11-13,4
2016-11-14,10
2016-11-15,5
2016-11-16,4
2016-11-17,4
2016-11-19,26
2016-11-20,3
2016-11-21,3
2016-11-23,1
2016-11-25,2
2016-11-26,6
2016-11-27,11
2016-11-28,2
2016-11-29,7
2016-11-30,8
2016-12-01,2
2016-12-02,9
2016-12-05,1
2016-12-06,1
2016-12-12,4
2016-12-13,5
2016-12-17,7
2016-12-18,2
2016-12-20,1
2016-12-24,2
2016-12-25,1
2016-12-27,3
2016-12-28,1
2016-12-29,1
2016-12-30,3
2017-01-03,1
2017-01-07,1
2017-01-12,1
2017-01-13,1
2017-01-19,3
2017-01-20,1
2017-01-22,7
2017-01-26,5
2017-01-27,3
2017-01-28,1
2017-01-30,1
2017-01-31,3
2017-02-01,1
2017-02-02,1
2017-02-06,2
2017-02-08,1
2017-02-10,4
2017-02-11,2
2017-02-12,13
2017-02-13,1
2017-02-15,1
2017-02-16,1
2017-02-18,13
2017-02-19,9
2017-02-22,9
2017-02-23,3
2017-02-24,2
2017-02-25,15
2017-02-27,2
2017-02-28,5
2017-03-01,6
2017-03-02,3
2017-03-03,1
2017-03-04,2
2017-03-06,3
2017-03-07,3
2017-03-09,9
2017-03-10,1
2017-03-11,3
2017-03-13,1
2017-03-14,4
2017-03-15,1
2017-03-17,3
2017-03-18,4
2017-03-19,8
2017-03-20,6
2017-03-21,11
2017-03-23,8
2017-03-24,5
2017-03-25,6
2017-03-26,7
2017-03-28,4
2017-03-29,7
2017-03-30,5
2017-04-03,1
2017-04-05,3
2017-04-06,1
2017-04-07,12
2017-04-08,1
2017-04-09,2
2017-04-10,18
2017-04-11,9
2017-04-14,44
2017-04-15,2
2017-04-16,1
2017-04-17,5
2017-04-20,37
2017-04-21,1
2017-04-22,1
2017-04-23,1
2017-04-26,1
2017-04-27,2
2017-04-28,3
2017-04-29,10
2017-04-30,6
2017-05-01,11
2017-05-02,1
2017-05-03,3
2017-05-04,12
2017-05-05,1
2017-05-06,1
2017-05-08,1
2017-05-10,5
2017-05-12,3
2017-05-16,1
2017-05-17,18
2017-05-18,27
2017-05-19,1
2017-05-21,1
2017-05-22,3
2017-05-23,5
2017-05-24,8
2017-05-25,11
2017-05-26,15
2017-05-27,55
2017-05-28,20
2017-05-29,1
2017-05-30,1
2017-06-01,4
2017-06-02,3
2017-06-03,25
2017-06-04,100
2017-06-06,2
2017-06-08,1
2017-06-10,4
2017-06-11,1
2017-06-12,2
2017-06-13,1
2017-06-14,1
2017-06-15,6
2017-06-16,1
2017-06-17,4
2017-06-18,2
2017-06-20,7
2017-06-22,1
2017-06-23,1
2017-06-24,1
2017-06-26,3
2017-06-27,1
2017-06-28,5
2017-06-29,3
2017-06-30,3
2017-07-01,1
2017-07-02,1
2017-07-04,1
2017-07-05,3
2017-07-06,6
2017-07-08,1
2017-07-09,13
2017-07-10,5
2017-07-15,3
2017-07-16,2
2017-07-17,1
2017-07-18,1
2017-07-19,2
2017-07-23,11
2017-07-27,3
2017-07-28,3
2017-07-30,15
2017-07-31,2
2017-08-03,4
2017-08-04,2
2017-08-05,1
2017-08-06,1
2017-08-07,5
2017-08-08,5
2017-08-09,3
2017-08-10,1
2017-08-11,1
2017-08-12,2
2017-08-13,1
2017-08-14,6
2017-08-15,1
2017-08-16,4
2017-08-18,1
2017-08-20,8
2017-08-21,1
2017-08-23,4
2017-08-24,5
2017-08-25,11
2017-08-26,7
2017-08-27,32
2017-08-28,2
2017-09-03,1
2017-09-04,1
2017-09-05,3
2017-09-09,15
2017-09-10,1
2017-09-11,5
2017-09-13,9
2017-09-14,16
2017-09-15,24
2017-09-16,4
2017-09-17,3
2017-09-19,1
2017-09-22,4
2017-09-23,2
2017-09-24,2
2017-09-25,1
2017-09-27,1
2017-09-28,8
2017-10-01,2
2017-10-02,1
2017-10-06,5
2017-10-08,73
2017-10-09,2
2017-10-15,1
2017-10-22,7
2017-11-04,1
2017-11-10,2
2017-11-15,1
2017-11-18,1
2017-11-19,2
2017-11-26,3
2017-11-29,1
2017-12-03,2
2017-12-08,1
2017-12-24,1
2018-01-01,1
2018-01-09,1
2018-01-12,1
2018-01-13,1
2018-01-16,1
2018-01-21,2
2018-02-02,1
2018-02-17,3
2018-02-18,2
2018-02-24,4
2018-03-03,2
2018-03-12,1
2018-03-21,1
2018-04-02,1
2018-04-07,1
2018-04-20,1
2018-05-06,2
