geoid,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino
34003021100,"Census Tract 211, Bergen County, New Jersey",6869,47112.0,363900.0,808.0,4832.0,99.0,0.0,144.0,6.0,26.0,109.0,1653.0
34003021200,"Census Tract 212, Bergen County, New Jersey",5947,57237.0,333700.0,893.0,3810.0,115.0,0.0,134.0,0.0,0.0,9.0,1879.0
34003021300,"Census Tract 213, Bergen County, New Jersey",4502,50918.0,315900.0,625.0,2828.0,72.0,0.0,187.0,0.0,0.0,188.0,1227.0
34003021400,"Census Tract 214, Bergen County, New Jersey",4668,48419.0,343400.0,770.0,2634.0,335.0,4.0,219.0,0.0,0.0,56.0,1420.0
34003021500,"Census Tract 215, Bergen County, New Jersey",4742,39627.0,325000.0,469.0,1785.0,437.0,45.0,9.0,0.0,0.0,19.0,2447.0
34003021600,"Census Tract 216, Bergen County, New Jersey",4728,46513.0,265400.0,294.0,1735.0,181.0,8.0,78.0,0.0,49.0,5.0,2680.0
34003022100,"Census Tract 221, Bergen County, New Jersey",3970,159091.0,614700.0,1928.0,3338.0,16.0,0.0,400.0,0.0,0.0,0.0,216.0
34003022200,"Census Tract 222, Bergen County, New Jersey",7917,159375.0,608800.0,3614.0,6289.0,70.0,0.0,812.0,0.0,0.0,143.0,603.0
34003023100,"Census Tract 231, Bergen County, New Jersey",3436,55886.0,258500.0,674.0,581.0,720.0,58.0,207.0,0.0,15.0,87.0,1781.0
34003023200,"Census Tract 232, Bergen County, New Jersey",6632,51739.0,300900.0,2015.0,2423.0,1526.0,40.0,554.0,0.0,0.0,92.0,1997.0
34003023301,"Census Tract 233.01, Bergen County, New Jersey",2981,108421.0,355300.0,760.0,1329.0,539.0,0.0,218.0,0.0,42.0,46.0,807.0
34003023302,"Census Tract 233.02, Bergen County, New Jersey",5015,60838.0,226700.0,2044.0,2633.0,924.0,12.0,669.0,0.0,0.0,45.0,744.0
34003023401,"Census Tract 234.01, Bergen County, New Jersey",3857,71197.0,-666666666.0,1631.0,989.0,838.0,74.0,1243.0,0.0,30.0,100.0,653.0
34003023402,"Census Tract 234.02, Bergen County, New Jersey",6351,48615.0,336500.0,1247.0,1417.0,1394.0,18.0,730.0,0.0,0.0,47.0,2745.0
34003023501,"Census Tract 235.01, Bergen County, New Jersey",3559,52337.0,238600.0,629.0,375.0,1636.0,17.0,127.0,0.0,26.0,98.0,1287.0
34003023502,"Census Tract 235.02, Bergen County, New Jersey",4164,60091.0,219000.0,1169.0,1348.0,1125.0,0.0,262.0,0.0,0.0,35.0,1394.0
34003023601,"Census Tract 236.01, Bergen County, New Jersey",3063,56471.0,270200.0,534.0,1058.0,567.0,26.0,116.0,0.0,12.0,0.0,1310.0
34003023602,"Census Tract 236.02, Bergen County, New Jersey",5213,46667.0,303000.0,586.0,802.0,664.0,16.0,239.0,0.0,22.0,43.0,3434.0
34003024100,"Census Tract 241, Bergen County, New Jersey",5942,133750.0,740400.0,2407.0,4213.0,198.0,0.0,1137.0,0.0,0.0,107.0,287.0
34003024200,"Census Tract 242, Bergen County, New Jersey",4790,136313.0,600900.0,1942.0,3461.0,34.0,0.0,818.0,0.0,0.0,97.0,380.0
34003025100,"Census Tract 251, Bergen County, New Jersey",6320,75000.0,369400.0,1649.0,4021.0,93.0,0.0,1083.0,0.0,0.0,130.0,993.0
34003025200,"Census Tract 252, Bergen County, New Jersey",5804,102935.0,428200.0,1891.0,4797.0,46.0,0.0,475.0,0.0,0.0,0.0,486.0
34003026100,"Census Tract 261, Bergen County, New Jersey",4820,119853.0,498900.0,1617.0,3864.0,30.0,0.0,316.0,0.0,8.0,39.0,563.0
34003026200,"Census Tract 262, Bergen County, New Jersey",5634,114485.0,530400.0,2025.0,4624.0,108.0,26.0,460.0,0.0,0.0,0.0,442.0
34003027000,"Census Tract 270, Bergen County, New Jersey",4139,163988.0,716800.0,2067.0,3476.0,1.0,0.0,213.0,0.0,0.0,87.0,362.0
34003028001,"Census Tract 280.01, Bergen County, New Jersey",5412,74077.0,453100.0,2243.0,1585.0,55.0,2.0,2671.0,0.0,0.0,81.0,1018.0
34003028002,"Census Tract 280.02, Bergen County, New Jersey",3725,101761.0,503000.0,1611.0,1917.0,27.0,0.0,1025.0,0.0,0.0,231.0,525.0
34003029100,"Census Tract 291, Bergen County, New Jersey",4995,52331.0,291400.0,1336.0,1824.0,150.0,6.0,1969.0,0.0,0.0,124.0,922.0
34003029200,"Census Tract 292, Bergen County, New Jersey",5873,71815.0,344400.0,1072.0,2628.0,24.0,0.0,1287.0,0.0,0.0,53.0,1881.0
34003030100,"Census Tract 301, Bergen County, New Jersey",5391,51331.0,354800.0,863.0,2571.0,293.0,0.0,501.0,0.0,0.0,39.0,1987.0
34003030200,"Census Tract 302, Bergen County, New Jersey",7148,45235.0,377400.0,1180.0,3326.0,729.0,14.0,425.0,0.0,0.0,79.0,2575.0
34003030300,"Census Tract 303, Bergen County, New Jersey",4396,52292.0,338600.0,762.0,1960.0,214.0,0.0,447.0,0.0,0.0,35.0,1740.0
34003030400,"Census Tract 304, Bergen County, New Jersey",7719,62198.0,331700.0,1214.0,3230.0,478.0,97.0,1164.0,0.0,0.0,89.0,2758.0
34003031100,"Census Tract 311, Bergen County, New Jersey",5684,69669.0,370700.0,1850.0,3036.0,86.0,0.0,781.0,0.0,53.0,48.0,1680.0
34003031200,"Census Tract 312, Bergen County, New Jersey",4636,60975.0,347400.0,1139.0,3496.0,30.0,19.0,173.0,0.0,8.0,26.0,884.0
34003031300,"Census Tract 313, Bergen County, New Jersey",5259,74572.0,365200.0,939.0,4103.0,34.0,0.0,370.0,0.0,27.0,36.0,689.0
34003031400,"Census Tract 314, Bergen County, New Jersey",6003,72021.0,361800.0,1213.0,4385.0,62.0,0.0,257.0,0.0,16.0,69.0,1214.0
34003032102,"Census Tract 321.02, Bergen County, New Jersey",5802,121154.0,749400.0,2263.0,4763.0,384.0,0.0,376.0,0.0,0.0,59.0,220.0
34003032103,"Census Tract 321.03, Bergen County, New Jersey",4970,101543.0,360600.0,2365.0,3641.0,115.0,0.0,815.0,0.0,0.0,0.0,399.0
34003032104,"Census Tract 321.04, Bergen County, New Jersey",5305,99185.0,410700.0,560.0,3497.0,376.0,35.0,419.0,23.0,14.0,125.0,821.0
34003032201,"Census Tract 322.01, Bergen County, New Jersey",5714,117241.0,569400.0,2512.0,4314.0,15.0,0.0,956.0,0.0,0.0,55.0,374.0
34003032202,"Census Tract 322.02, Bergen County, New Jersey",4643,85764.0,416000.0,1990.0,3679.0,56.0,3.0,554.0,0.0,0.0,60.0,291.0
34003033100,"Census Tract 331, Bergen County, New Jersey",3578,100948.0,372400.0,1041.0,2470.0,51.0,9.0,216.0,0.0,0.0,61.0,771.0
34003033200,"Census Tract 332, Bergen County, New Jersey",2667,101250.0,370100.0,764.0,1784.0,94.0,0.0,219.0,0.0,12.0,45.0,513.0
34003033300,"Census Tract 333, Bergen County, New Jersey",3481,61631.0,379100.0,837.0,1802.0,136.0,0.0,805.0,0.0,0.0,47.0,691.0
34003034000,"Census Tract 340, Bergen County, New Jersey",7283,99436.0,456000.0,2725.0,6200.0,4.0,0.0,105.0,49.0,0.0,132.0,793.0
34003035100,"Census Tract 351, Bergen County, New Jersey",8285,111436.0,600500.0,3199.0,6178.0,101.0,4.0,1073.0,0.0,0.0,0.0,929.0
34003035200,"Census Tract 352, Bergen County, New Jersey",5844,150862.0,756100.0,2980.0,5167.0,157.0,0.0,399.0,0.0,0.0,54.0,67.0
34003036100,"Census Tract 361, Bergen County, New Jersey",2755,63897.0,378800.0,295.0,1298.0,117.0,0.0,93.0,0.0,0.0,72.0,1175.0
34003036200,"Census Tract 362, Bergen County, New Jersey",2756,53462.0,341700.0,417.0,1567.0,0.0,0.0,204.0,0.0,0.0,160.0,825.0
34003037100,"Census Tract 371, Bergen County, New Jersey",5653,91641.0,401800.0,1615.0,3577.0,100.0,21.0,932.0,0.0,28.0,40.0,963.0
34003037201,"Census Tract 372.01, Bergen County, New Jersey",4048,111719.0,390000.0,1069.0,2451.0,42.0,11.0,815.0,0.0,0.0,70.0,659.0
34003037202,"Census Tract 372.02, Bergen County, New Jersey",6981,69158.0,391300.0,1920.0,3620.0,530.0,49.0,1150.0,0.0,17.0,107.0,1546.0
