GEOID,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,total_population00,median_income00,median_home_value00,educational_attainment_00,white_alone00,black_alone00,native00,asian00,native_hawaiian_pacific_islander00,hispanic_or_latino00,educational_attainment_pct,educational_attainment_pct00,educational_attainment_change,home_pct_change,has_pop_500+_2000,has_pop_500+_2016,median_40th_home_2000,median_40th_income_2000,educational_is_upper3rd,median_home_higher,median_home_top_third,gentrified,pct_white_alone_change,pct_white_alone_2016,pct_black_alone_change,pct_black_alone_2016,pct_native_alone_change,pct_native_alone_2016,pct_asian_alone_change,pct_asian_alone_2016,pct_hispanic_or_latino_alone_change,pct_hispanic_or_latino_alone_2016,pct_native_hawaiian_pacific_islander_change,pct_native_hawaiian_pacific_islander_2016,low_population,eligible_for_gentrification,eligible_not_gentrified_highpop,not_eligible_highpop
36061014602,"Census Tract 146.02, New York County, New York",7731,91905.0,631500.0,5743.0,6168.0,116.0,0.0,426.0,0.0,55.0,13.0,953.0,8257.0,70370.0,236000.0,5126.0,6903.0,189.0,8.0,635.0,1.0,444.0,74.28534471607813,62.08065883492794,12.20468588115019,0.4768012668250198,True,True,False,False,True,True,True,False,-3.819099364615269,79.78269305393869,-0.7885142143399468,1.5004527228042943,0.0065920087215032425,0.0,0.5232406922693205,5.510283275126115,6.94973955221055,12.326995214073213,-0.012110936175366356,0.0,False,False,False,True
36061014700,"Census Tract 147, New York County, New York",3384,169963.0,1625000.0,2374.0,1880.0,76.0,0.0,884.0,5.0,6.0,122.0,411.0,2231.0,68750.0,162500.0,1046.0,1360.0,194.0,10.0,530.0,0.0,117.0,70.15366430260048,46.884805020170326,23.26885928243015,0.86,True,True,True,False,True,True,True,False,-5.403655560535881,55.55555555555556,-6.449789289752287,2.2458628841607564,-0.1527212192689939,0.0,-8.094224621256675,26.12293144208038,6.901104996964119,12.145390070921986,0.14775413711583923,0.14775413711583923,False,False,False,True
36061014801,"Census Tract 148.01, New York County, New York",3164,162857.0,1744700.0,2132.0,2498.0,11.0,13.0,263.0,0.0,51.0,117.0,211.0,2903.0,90391.0,640100.0,1867.0,2538.0,43.0,3.0,176.0,0.0,122.0,67.38305941845765,64.31277988287978,3.0702795355778676,0.4863644179515103,True,True,False,False,False,True,True,False,-8.47610453983475,78.95069532237675,-1.1335651292333273,0.347661188369153,-0.008524683258480159,0.41087231352718073,-0.500114751164169,8.312262958280657,2.4662246170207123,6.668773704171935,0.0,0.0,False,False,False,True
36061014802,"Census Tract 148.02, New York County, New York",6884,125714.0,2000001.0,4437.0,5243.0,91.0,0.0,528.0,0.0,0.0,358.0,664.0,6947.0,89713.0,790500.0,4410.0,6055.0,87.0,3.0,421.0,0.0,331.0,64.45380592678676,63.480639124802074,0.9731668019846822,0.4466502766748617,True,True,False,False,False,True,True,False,-10.997810098155824,76.16211504938988,0.06956672948422393,1.3219058686809995,0.00039520610395618605,0.0,0.05546058992185099,7.669959325973272,4.880908299888582,9.645554909936084,0.0,0.0,False,False,False,True
36061014900,"Census Tract 149, New York County, New York",5866,152335.0,1810100.0,3776.0,4373.0,53.0,0.0,709.0,0.0,0.0,110.0,621.0,5956.0,96588.0,607300.0,3881.0,4971.0,151.0,4.0,548.0,2.0,259.0,64.3709512444596,65.16118200134318,-0.7902307568835738,0.5302911441356831,True,True,False,False,False,True,True,False,-8.913810951867276,74.54824411864985,-1.6317468000935142,0.9035117627003068,0.001030399769923182,0.0,0.14116476847947546,12.086600750085237,6.237874198263112,10.586430276167746,-0.0335795836131632,0.0,False,False,False,True
36061015001,"Census Tract 150.01, New York County, New York",2122,142679.0,1762500.0,1390.0,1778.0,0.0,0.0,214.0,0.0,0.0,21.0,109.0,2247.0,127126.0,827100.0,1407.0,2085.0,19.0,0.0,65.0,0.0,68.0,65.50424128180961,62.61682242990654,2.887418851903071,0.3430127659574468,True,True,False,False,False,True,False,False,-9.00150876632243,83.78887841658812,-0.8455718736092568,0.0,0.0,0.0,0.17040209020971364,10.08482563619227,2.1104062931117293,5.136663524976438,0.0,0.0,False,False,False,True
36061015002,"Census Tract 150.02, New York County, New York",5015,162984.0,2000001.0,3445.0,4079.0,41.0,0.0,210.0,0.0,0.0,0.0,685.0,5866.0,166209.0,1000001.0,3839.0,5441.0,46.0,3.0,196.0,2.0,162.0,68.69391824526421,65.44493692465053,3.24898132061368,0.29999965000017503,True,True,False,False,False,True,False,False,-11.418866482720276,81.33599202392821,0.033367337469351166,0.8175473579262214,0.008678363137658282,0.0,0.5669863916603415,4.187437686939183,10.897345467858273,13.65902293120638,-0.03409478349812479,0.0,False,False,False,True
36061015100,"Census Tract 151, New York County, New York",7682,52823.0,,3503.0,2824.0,876.0,25.0,1288.0,0.0,18.0,90.0,2586.0,6828.530291,39983.00081000001,432300.0078,2538.429932,2433.464355,1653.446167,17.33374023,687.5716553,0.962985516,1991.454102,45.60010413954699,37.17388403981526,8.42622009973173,,True,True,False,True,True,False,False,False,1.1245381103309384,36.76126008851862,-12.810512273231613,11.403280395730278,-0.028201931449201523,0.32543608435303306,-1.1186765482745784,16.766467065868262,4.499379078552344,33.66310856547774,-0.014102383308882945,0.0,False,False,False,True
36061015200,"Census Tract 152, New York County, New York",7510,73417.0,814800.0,3571.0,3869.0,525.0,0.0,703.0,0.0,0.0,302.0,2111.0,6909.0,51150.0,327800.0,2962.0,4222.0,761.0,22.0,476.0,0.0,1396.0,47.54993342210386,42.8716167317991,4.6783166903047615,0.4367697594501719,True,True,False,False,False,True,True,False,-9.590722766711018,51.51797603195739,-4.023939518862195,6.990679094540613,-0.02548249942807962,0.0,-0.5513486239893588,9.360852197070573,7.903658729548422,28.109187749667107,0.0,0.0,False,False,False,True
36061015300,"Census Tract 153, New York County, New York",9298,152320.0,1077500.0,6040.0,7395.0,60.0,55.0,912.0,0.0,45.0,240.0,625.0,9040.0,94583.0,441600.0,6255.0,7664.0,200.0,22.0,642.0,1.0,453.0,64.96020649602065,69.1924778761062,-4.23227138008555,0.42622737819025525,True,True,False,False,False,True,True,False,-5.245528108623617,79.53323295332329,-1.567089316000967,0.6453000645300064,-0.006752808197404703,0.591525059152506,-0.1970592210333546,9.808560980856099,1.710813725284913,6.721875672187568,-0.011061946902654867,0.0,False,False,False,True
