,GEOID,total_population00,median_income00,median_home_value00,educational_attainment_00,white_alone00,black_alone00,native00,asian00,native_hawaiian_pacific_islander00,hispanic_or_latino00
2819,36059416401,4058.0000549999995,57464.00055,194300.0022,1215.865845,3678.281738,52.05374146,12.05455017,48.76613617,0.0,249.85795589999998
2820,36059416402,3347.999945,57463.999339999995,194299.9973,1003.134216,3034.7182620000003,42.94625854,9.945449829,40.23386383,0.0,206.1420441
2821,36059416500,6231.0,44914.0,203900.0,759.0,2409.0,1661.0,45.0,291.0,0.0,1667.0
2822,36059416600,6326.0,61860.0,253800.0,2200.0,5218.0,123.0,10.0,243.0,3.0,681.0
2823,36059416701,4471.0,66680.0,242900.0,1131.0,3544.0,117.0,4.0,146.0,3.0,650.0
2824,36059416702,4443.0,50810.0,147700.0,1343.0,3508.0,165.0,12.0,107.0,1.0,624.0
2825,36059416801,2282.9999589999998,62473.99801,228500.0109,783.882019,2057.993652,22.18861008,3.813667297,34.66970444,0.0,160.1740265
2826,36059416802,4302.000040999999,62474.00105,228500.00600000002,1477.118042,3878.006348,41.81138992,7.186332703,65.33029938,0.0,301.8259583
2827,36059416900,4301.0,81468.0,370200.0,1692.0,4076.0,28.0,8.0,65.0,0.0,112.0
2828,36059517000,3474.8758780000003,78078.99094,386660.4611,1027.812785,2879.421803,72.66446948,5.046396233,197.994205,0.013256066,303.5766754
2829,36059517101,5073.477573,54088.9983,228499.9994,870.5615233999999,3208.272217,399.0487061,6.948609352,148.8987732,1.9853169919999998,1284.5001220000001
2830,36059517102,2666.0,80983.0,272800.0,710.0,2320.0,34.0,9.0,170.0,0.0,128.0
2831,36059517200,7371.832617,44161.73018,243190.4955,1036.527179,3508.587586,1074.1480099999999,17.98592634,331.7553014,1.000367533,2395.383889
2832,36059517301,3146.0,51429.0,254600.0,749.0,2306.0,111.0,6.0,161.0,0.0,546.0
2833,36059517302,4882.0,56950.0,260700.0,852.0,3918.0,30.0,3.0,220.0,0.0,676.0
2834,36059517400,5073.814009000001,78452.24984,369506.2637,2087.09858,4629.718435,99.13883674,12.01906889,76.35171518,0.0010593830000000001,243.5393412
2835,36059517500,3764.4350640000002,79772.35676,349417.701,1113.562862,3474.144923,15.00665817,6.952380422,123.2569848,0.0,133.1488153
2836,36059517600,4625.0,74453.0,338900.0,1301.0,4264.0,24.0,3.0,106.0,0.0,213.0
2837,36059517701,7627.344161,152572.5658,871871.3682,3040.392866,6216.905696,212.67071319999997,6.99702163,917.6786317,0.0,231.1413273
2838,36059517705,2700.4528969999997,199572.39,997661.6333,1150.289986,2355.216074,65.18624139,1.034099322,191.619958,0.0,78.26834357
2839,36059517801,3521.0,134058.0,835400.0,1487.0,3230.0,22.0,7.0,125.0,0.0,121.0
2840,36059517802,3521.0,57418.0,304600.0,782.0,2773.0,138.0,3.0,85.0,0.0,512.0
2841,36059517901,4887.0,74300.0,317500.0,1131.0,4571.0,21.0,11.0,78.0,0.0,200.0
2842,36059517902,3111.0,66489.0,285200.0,880.0,2861.0,10.0,2.0,61.0,0.0,170.0
2843,36059518000,6827.309236,58006.90489,296736.3451,2163.521979,5587.0671219999995,235.0365488,8.001201134,138.1575202,0.0,836.0396374
2844,36059518100,2679.890202,92096.27019,326624.2317,880.2153962000001,2494.388335,21.0696734,1.007620528,74.31570756,0.0,85.09688957
2845,36059518201,4487.109922,200000.9923,948900.0231,2032.784668,4026.6118159999996,63.93032837,6.992379665,289.6842957,0.0,88.90311432
2846,36059518203,4416.885837,122008.9959,689499.9907,1574.602783,3864.0253909999997,55.98587799,6.998234749,416.8948364,0.0,65.98335266
2847,36059518204,4592.0,123109.0,468800.0,2152.0,4238.0,36.0,9.0,241.0,0.0,62.0
2848,36059518300,5561.106299,89084.57659,355964.85,2065.465514,4584.795084,24.07828954,3.993917671,719.6729054,0.0,211.58366189999998
2849,36059518400,4369.114285000001,98663.15319,343348.1253,1669.397238,3591.97481,76.01412403,7.001765504,549.1051736000001,0.0,134.0166462
2850,36059518501,6352.599395,106422.1665,423932.856,2774.445522,5455.943665,110.09772140000001,10.00328258,670.4278952000001,0.0,82.10741798
2851,36059518502,2799.6628760000003,79712.00205,262900.0026,846.8980103,2079.7495120000003,77.99060822,4.999398232,455.9450989,0.999879599,168.97964480000002
2852,36059518600,4030.3764590000005,120773.6863,415695.3018,1976.489627,3634.14761,15.19184846,3.00594822,302.7930961,0.0,67.20084554
2853,36059518700,5416.624092,83506.70096,293788.4899,1922.8856660000001,4437.808722,5.1180045960000005,3.004163527,809.5356072000001,0.0,136.133753
2854,36059518800,3193.9843339999998,96793.7685,327072.9441,1203.2301630000002,2794.842593,4.002507218,1.001504331,321.085914,0.0,60.04864004
2855,36059518900,6773.0,62791.0,205500.0,1285.0,4454.0,483.0,22.0,913.0,0.0,884.0
2856,36059519000,6175.0,70185.0,195900.0,963.0,5160.0,24.0,16.0,523.0,2.0,437.0
